unique_id,Primary_Name,Secondary_Name,Fathers_Name,Birthplace,Birthplace_Code,Autopopulated birthplace,Certainty_of_Birthplace,Work/Living_Place,WL_Place_code_#1,Work/Living_Place_#2,WL_Place_code_#2,Work/Living_Place_#3,WL_Place_code_#3,Work/Living_Place_#4,WL_Place_code_#4,Work/Living_Place_#5,WL_Place_code_#5,Work/Living_Place_#6,WL_Place_code_#6,Work/Living_Place_#7,WL_Place_code_#7,Work/Living_Place_#8,WL_Place_code_#8,Work/Living_Place_#9,WL_Place_code_#9,Work/Living_Place_#10,WL_Place_code_#10,Work/Living_Place_#11,WL_Place_code_#11,Work/Living_Place_#12,WL_Place_code_#12,Work/Living_Place_#13,WL_Place_code_#13,Work/Living_Place_#14,WL_Place_code_#14,Work/Living_Place_#15,WL_Place_code_#15,Work/Living_Place_#16,WL_Place_code_#16,Work/Living_Place_#17,WL_Place_code_#17,Work/Living_Place_#18,WL_Place_code_#18,Work/Living_Place_#19,WL_Place_code_#19,Endeavor,Endeavor_Code_1,Endeavor_2,Endeavor_Code_2,Endeavor_3,Endeavor_Code_3,Endeavor_4,Endeavor_Code_4,Endeavor_5,Endeavor_Code_5,Endeavor_6,Endeavor_Code_7,Endeavour_8,Endeavour_Code_8,Endeavour_9,Endeavour_Code_10,Era,Century,Fame,endeavor_1,endeavor_2,endeavor_3,endeavor_4,endeavor_5,endeavor_7,endeavor_8,endeavor_10,endeavor_6 endeavor_9 THIS CODE IS MISSING WHERE IS IT,philosophy,culture,economy,politics,military,religion
Aemilius Scaurus (1)_50,Aemilius Scaurus (1),Marcus,NA,NA,0,<Null>,3,Rome,0,Liguria,0,Asia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consul,407,censor,404,senator,402,ambassador,426,,,,,,,,,18,,0.6,4,2,4,4,,,,,,0,1,0,1,0,0
Aemilius Scaurus (2)_51,Aemilius Scaurus (2),Marcus,son of (one),NA,0,<Null>,3,Rome,0,Judaea,0,Nabataea,0,Sardinia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quaestor,418,aedile,421,praetor,420,governor,406,,,,,,,,,20,,0.3,4,2,4,4,,,,,,0,1,0,1,0,0
Aeneas (Aineias) Tacticus_52,Aeneas (Aineias) Tacticus,,NA,Stymphalos,296,296,1,Arcadia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,military writer,107,general,412,,,,,,,,,,,,,8,,0.2,2,4,,,,,,,,0,1,0,1,0,0
Aenesidemus_53,Aenesidemus,,NA,Cnossus,967,967,1,Alexandria,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sceptical philosopher,102,teacher,110,,,,,,,,,,,,,,-1,0.2,,2,,,,,,,,0,1,0,0,0,0
Aeschines_54,Aeschines,,NA,Athens,361,361,1,Athens,361,Megalopolis,0,Macedonia,0,Rhodes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orator,411,ambassador,426,teacher of oratory,110,,,,,,,,,,,9,,2.1,2,4,2,,,,,,,0,1,0,1,0,0
Aeschines Socraticus_55,Aeschines Socraticus,,NA,Sphettus_(Attica),0,#N/A,3,Athens,361,Syracuse,0,Athens,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,107,socratic philosopher,102,,,,,,,,,,,,,8,,0.3,2,,,,,,,,,0,1,0,0,0,0
Aeschylus_56,Aeschylus,,NA,Eleusis,362,362,1,Athens,361,Syracuse,0,Athens,0,Gela,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dramatist,206,tragic poet,105,,,,,,,,,,,,,4,,4.4,2,1,,,,,,,,1,1,0,0,0,0
Aesopus_57,Aesopus,,NA,NA,0,<Null>,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actor,207,,,,,,,,,,,,,,,20,,0.2,2,,,,,,,,,0,1,0,0,0,0
A_tius (1)_58,A_tius (1),,NA,NA,0,<Null>,3,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,107,philosopher,102,,,,,,,,,,,,,,1,0.2,2,,,,,,,,,0,1,0,0,0,0
A_tius (2)_59,A_tius (2),,NA,Amida,0,#N/A,3,Alexandria,0,Constantinople,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician ,307,writer,107,,,,,,,,,,,,,44,,0.2,1,2,,,,,,,,1,1,0,0,0,0
Aetius_60,Aetius,Flavius,Gaudentius,Durostorum,0,2121,3,Rome,0,Gaul,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General,412,patrician,604,consul,407,consul,407,consul,407,governor (patrikios),406,,,,,40,,0.3,4,4,4,4,4,4,,,,0,0,0,1,0,0
Afranius (1)_61,Afranius (1),Lucius,NA,NA,0,<Null>,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comic poet,118,,,,,,,,,,,,,,,,-2,0.2,1,,,,,,,,,1,0,0,0,0,0
Afranius (2)_62,Afranius (2),Lucius,NA,Picenum,0,2259,3,Rome,0,Gaul,0,Asia,0,Hither Spain,0,Ilerda,0,Pharsalus,0,Thapsus,0,,,,,,,,,,,,,,,,,,,,,,,,,legate,413,praetor,420,proconsul,410,consul,407,governor,406,,,,,,,20,,0.3,4,4,4,4,4,,,,,0,0,0,1,0,0
Afranius Burrus_63,Afranius Burrus,Sextus,NA,Narbonensis,0,2217,1,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,procurator,424,praetorian prefect,408,,,,,,,,,,,,,25,,,4,4,,,,,,,,0,0,0,1,0,0
Agasias (1)_64,Agasias (1),,Dositheus,Ephesus,844,844,1,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sculptor,201,,,,,,,,,,,,,,,18,,0.1,2,,,,,,,,,0,1,0,0,0,0
Agasias (2)_65,Agasias (2),,Menophilus,Ephesus,844,844,1,Delos,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sculptor,201,,,,,,,,,,,,,,,18,,0.1,2,,,,,,,,,0,1,0,0,0,0
Agatharchides_66,Agatharchides,,NA,Cnidus,0,2096,3,Alexandria,0,Athen,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historian,108,geographer,308,literary scholar,104,,,,,,,,,,,17,,0.2,1,1,2,,,,,,,1,1,0,0,0,0
Agatharchus_67,Agatharchus,,NA,Samos,864,864,1,Athens,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,painter,202,,,,,,,,,,,,,,,5,,0.3,2,,,,,,,,,0,1,0,0,0,0
Agathias_68,Agathias,Agathias Scholasticus,NA,Myrina,25,502,1,Alexandria,0,Constantinople,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,409,writer,107,historian,108,poet,113,,,,,,,,,44,,0.6,2,2,1,2,,,,,,1,1,0,0,0,0
Agathinus_69,Agathinus,,NA,Sparta,345,345,1,Sparta,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician ,307,writer,107,,,,,,,,,,,,,,1,0.2,1,2,,,,,,,,1,1,0,0,0,0
Agathocles (1)_70,Agathocles (1),,Carcinus,Termae,0,2311,3,Syracuse,47,Croton,0,Tarentum,0,Himera,0,Carthage,0,Bruttium,0,Corcyra,0,,,,,,,,,,,,,,,,,,,,,,,,,general,412,governor,406,tyrant,605,,,,,,,,,,,10,,1.2,4,4,4,,,,,,,0,0,0,1,0,0
Agathocles (2)_71,Agathocles (2),,,Cyzicus,,2116,3,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,literary scholar,104,grammarian,114,,,,,,,,,,,,,14,,,2,1,,,,,,,,1,1,0,0,0,0
Agathon_72,Agathon,,Tisamenus,Athens,361,361,1,Athens,361,Macedon,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tragic Poet,105,,,,,,,,,,,,,,,6,,0.6,1,,,,,,,,,1,0,0,0,0,0
Agennius Urbicus_73,Agennius Urbicus,,NA,NA,0,<Null>,3,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writer,107,geographer,308,,,,,,,,,,,,,,5,0.1,2,1,,,,,,,,1,1,0,0,0,0
Agesilaus II_74,Agesilaus II,,Agis II,Sparta,345,345,1,Sparta,345,Asia,0,Corinth,0,Coronea,0,Acarnania,0,Boeotia,0,Asia,0,Egypt,0,,,,,,,,,,,,,,,,,,,,,,,Spartan King,603,general,412,,,,,,,,,,,,,8,,0.9,4,4,,,,,,,,0,0,0,1,0,0
Agis II_75,Agis II,,Archidamus II,Sparta,345,345,1,Sparta,345,Mantinea,0,Decelea,0,Athens,0,Elis,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spartan King,603,general,412,,,,,,,,,,,,,6,,0.3,4,4,,,,,,,,0,0,0,1,0,0
Agis III_76,Agis III,,NA,Sparta,345,345,1,Sparta,345,Crete,0,Megalopolis,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spartan King,603,general,412,,,,,,,,,,,,,9,,0.3,4,4,,,,,,,,0,0,0,1,0,0
Agis IV_77,Agis IV,,Eudamidas,Sparta,345,345,1,Sparta,345,Aetolia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spartan King,603,general,412,revolutionary,504,,,,,,,,,,,13,,0.3,4,4,2,,,,,,,0,1,0,1,0,0
Agoracritus_78,Agoracritus,,NA,Paros,509,509,1,Coronea,0,Athens,0,Rhamnus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sculptor,201,,,,,,,,,,,,,,,6,,0.3,2,,,,,,,,,0,1,0,0,0,0
Agrippa_79,Agrippa,,NA,NA,0,,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pyrrhonist sceptic,102,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
Agroecius_80,Agroecius,,NA,NA,0,,0,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bishop,701,grammarian,114,,,,,,,,,,,,,41,,,6,1,,,,,,,,1,0,0,0,0,1
Agyrrhius_81,Agyrrhius,,NA,Athens,361,361,1,Athens,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,427,orator,411,,,,,,,,,,,,,7,,0.2,4,2,,,,,,,,0,1,0,1,0,0
Alaric_82,Alaric,,NA,Germany,0,,0,Germany,0,Balkans,0,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general,412,,,,,,,,,,,,,,,39,,,4,,,,,,,,,0,0,0,1,0,0
Albinovanus_83,Albinovanus,Celsus,NA,NA,0,<Null>,3,Rome,0,Armenia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poet,113,secretary,422,,,,,,,,,,,,,22,,0.2,2,4,,,,,,,,0,1,0,1,0,0
Albinovanus Pedo_84,Albinovanus Pedo,,,NA,0,,0,Rome,0,Germany,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commander (praefectus),417,epigrammatist,113,,,,,,,,,,,,,23,,,4,2,,,,,,,,0,1,0,1,0,0
Albinus (1)_85,Albinus (1),,NA,NA,0,<Null>,3,Smyrna,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,platonist philosopher,102,,,,,,,,,,,,,,,29,,0.1,,,,,,,,,,0,0,0,0,0,0
Albinus (2)_86,Albinus (2),,,NA,0,,0,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"writer on music, geometry, dialectic",102,consul,407,,,,,,,,,,,,,36,,,,4,,,,,,,,0,0,0,1,0,0
Albucius_87,Albucius,Titus,NA,NA,0,,0,Rome,0,Athens,0,Sardinia,0,Athens,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,epicurean,102,writer,107,governor,406,exile,0,,,,,,,,,18,,,,2,4,,,,,,,0,1,0,1,0,0
